CTRLM_TABLE_NAME,JOB_NAME,SCRIPT_NAME,DESCRIPTION,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROM_TIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,FAIL_FLAG,TEAM_NAME,SNOW_WORK_GROUP,MIR3_WORK_GROUP,REGION,APPLICATION,JOB_TYPE
SEBLG408@ADLN5755,SEBLJ5728c,sebl5728_optima_plan_upd.sh,Optima Plan Upload Unix Job,Y,40,N,1300,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5734c,sebl5734_optima_fund_rate.sh,Optima Fund Rate Unix Job,Y,40,N,0200,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5744c,sebl5744_optima_del_bsplit.sh,Optima Brandsplit Delete Unix Job,Y,40,N,1800,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5746c,sebl5746_optima_prd_denorm.sh,Optima Prod Denorm Unix Job,Y,50,Y,,1530,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5748b,sebl5748_optima_bd_trans.sh,Optima Budget Transfer Unix Job,Y,40,N,2030,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5751e,sebl5751_optima_rev_oi_scl.sh,Optima On Invoice Reverse Scalable Unix Job,Y,40,N,1600,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5751f,sebl5751_optima_rev_oi_scl.sh,Optima On Invoice Reverse Scalable Unix Job,Y,40,N,1600,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5759d,sebl5759_ship_tsp.sh,Optima TSP Shipment Unix Job,Y,100,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5759e,sebl5759_ship_tsp.sh,Optima TSP Shipment Unix Job,Y,90,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5760c,sebl5760_tsp_mass_upd.sh,Optima TSP Mass upload Unix Job,Y,40,N,0400,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5761e,sebl5761_sdc_tsp_error.sh,Optima SDC Error Report Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5762c,sebl5762_tsp_error.sh,Optima TSP Error Report Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5762e,sebl5762_tsp_error.sh,Optima TSP Error Report Unix Job,Y,40,N,2200,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5763c,sebl5763_tsp_complete_agg.sh,Optima TSP Complete Aggregation Unix Job,Y,130,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5764c,sebl5764_tfm_autogtin.sh,Optima Auto Add GTIN Unix Job,Y,110,Y,,1530,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5769c,sebl5769_tsp_snapshot.sh,Optima TSP Snapshot Unix Job,Y,70,N,1200,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ57cx,sebl57_optima_basevolume.sh,Optima Base Volume Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ57cx,sebl57_optima_basevolume.sh,Optima Base Volume Unix Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ93cx,sebl93_dqdaily_eod.sh,DQ Daily EOD Unix Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ6250c,sebl6250_tfm_clean_arch_tab.sh,Clean Archive Table Unix Job,Y,100,N,0500,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ6205c,sebl6205_tfm_real_time.sh,Real Time Unix Job,N,60,N,0500,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5191c,sebl5191_dqdaily_bus_close.sh,DQT Daily Unix Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5192c,sebl5192_dqdaily_ax_start.sh,DQT Daily Ax Unix Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5194c,sebl5194_dqweekly_eod.sh,DQT Weekly EOD Unix Job,Y,100,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ5194d,sebl5194_dqweekly_eod.sh,DQT Weekly EOD Unix Job,Y,60,N,1800,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ3303c,sebl3303_dmat_master.sh,DMAT Master Unix Job,N,60,N,0425,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ8003j,sebl8003_sode_val_CE.sh,CEEMEA SODE file Basic Validations,N,60,N,0600,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@ADLN5755,SEBLJ8004j,sebl8004_sodeADW_load_CE.sh,CEEMEA SODE File load to ADW Table,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,Linux
SEBLG408@-SIEBEL114,SEBLJ5922c,sebl5922_tfm_wf_prmoapprov.bat,Promotion Approval to Owner Email Workflow,Y,40,N,0030,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ5923c,sebl5923_rev_promo_notifi.bat,Reverse Promotion Notification E-mail Workflow,N,60,N,1300,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001ba,sebl2001_imp_opt_anaplan.bat,Anaplan Customer Hierarchy NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bb,sebl2001_imp_opt_anaplan.bat,Anaplan Customer Attributes NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bc,sebl2001_imp_opt_anaplan.bat,Anaplan Product Hierarchy NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bd,sebl2001_imp_opt_anaplan.bat,Anaplan Product Attributes NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bj,sebl2001_imp_opt_anaplan.bat,Anaplan Promo Volume NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001be,sebl2001_imp_opt_anaplan.bat,Anaplan Fund Details NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bg,sebl2001_imp_opt_anaplan.bat,Anaplan Fund Adjustment Transfers NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bh,sebl2001_imp_opt_anaplan.bat,Anaplan Sufficiency Report NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bi,sebl2001_imp_opt_anaplan.bat,Anaplan Promotion SID NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bk,sebl2001_imp_opt_anaplan.bat,Anaplan Optima Actual Payments NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bl,sebl2001_imp_opt_anaplan.bat,Anaplan RVC NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bm,sebl2001_imp_opt_anaplan.bat,Anaplan Shipment Volume NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bn,sebl2001_imp_opt_anaplan.bat,Anaplan Sysdate NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2001bp,sebl2001_imp_opt_anaplan.bat,Anaplan Promo Error Report NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2002bi,sebl2002_imp_hub_anaplan.bat,Anaplan Anaplan Hub to Satellite NB Jhb,Y,60,N,0130,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2015ba,sebl2015_tfm_wf_ana_rcsv.bat,Anaplan to Optima Workflow,Y,40,N,,,Y,N,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2016b,sebl2016_tfmwfana_rtsvol.bat,Anaplan TSP Staging Data NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2018b,sebl2018_Promo_Acc_Del.bat,Anaplan Deletion into Import Hub NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2019b,sebl2019_imp_hub_anaplan.bat,Anaplan Import Hub NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2220b,sebl2220_handshake.bat,Anaplan Handshake NT Job,Y,40,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2005bb,sebl2005_exp_anaplan_opt.bat,Anaplan Export Download NT Job,Y,40,N,1400,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2005bc,sebl2005_exp_anaplan_opt.bat,Anaplan SVP NT Job,Y,40,N,1530,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ1011b,sebl1011_export_user.bat,Anaplan Users Export NT Job,N,60,N,0430,,Y,N,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
SEBLG408@-SIEBEL114,SEBLJ2017b,sebl2017_ana_usr_security.bat,Anaplan Users Security NT Job,N,60,N,,,N,Y,Optima CEEMEA ,HPE_CDS_TFM_Optima_TX_L2,CETX,CE,Tx,NT
