ALERT_TIMESTAMP,ORDER_ID,ODATE,ISSUE_TYPE,JOB_NAME,ORDER_TABLE,INTERFACE_NAME,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP,SYSDATE,MEMNAME,STATUS,STATE,START_TIME,END_TIME,ELAPSED_RUNTIME,FROM_TIME,CYCLIC,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,NEW_MSG,UNIQUE_ID
08/07/2019 12:01:15,4cvlg,190707,LONGRUN,SEBLJ5329f,SEBLG407@SDHN5569,Interface_245,AP,TX,UNIX,APTX,2019-07-08 12:01:13.417168,sebl5329_optima_fund_adjst.sh,Executing,Run (2) ,20190708020000, ,0,0200,0,SEBLG407@SDHN5569,SEBLJ5329f,sebl5329_optima_fund_adjst.sh,PL/SQL - read file,Y,40.0,N,0200, ,N, , , , ,601,561.0, , , , ,Y, ,"Date 190707, LONGRUN jobs are SEBLJ6206a, SEBLJ5329f(Interface_245, Interface_299), TABLE_NAME = SEBLG407@SDHN5569, ID=APTX1000172",APTX1000172
08/07/2019 12:01:15,4cvlt,190707,LONGRUN,SEBLJ6206a,SEBLG407@SDHN5569,Interface_299,AP,TX,UNIX,APTX,2019-07-08 12:01:13.417168,sebl6206_tfm_table_reorg.sh,Executing,Run (2) ,20190708013000, ,0,0130,0,SEBLG407@SDHN5569,SEBLJ6206a,sebl6206_tfm_table_reorg.sh,Shell Script - Table Reorg,Y,200.0,N,0130, ,N, , , , ,631,431.0, , , , ,Y, ,"Date 190707, LONGRUN jobs are SEBLJ6206a, SEBLJ5329f(Interface_245, Interface_299), TABLE_NAME = SEBLG407@SDHN5569, ID=APTX1000172",APTX1000172
08/07/2019 12:01:15,4cv5e,190707,LONGRUN,SEBLJ6206a,SEBLG408@SDHN5569,Interface_561,CE,TX,UNIX,CETX,2019-07-08 12:01:13.417168,sebl6206_tfm_table_reorg.sh,Executing,Run (2) ,20190708013000, ,0,0130,0,SEBLG408@SDHN5569,SEBLJ6206a,sebl6206_tfm_table_reorg.sh,Shell Script - Table Reorg,Y,180.0,N,0130, ,N, , , , ,631,451.0, , , , ,Y, ,"Date 190707, LONGRUN jobs are SEBLJ6206a(Interface_561), TABLE_NAME = SEBLG408@SDHN5569, ID=CETX1000171",CETX1000171
08/07/2019 12:01:15,4cvea,190707,FAILED,SEBLJ2003ua,SEBLG409@-SIEBEL018,Interface_594,WE,TX,NT,WETX,2019-07-08 12:01:13.417168,sebl2003_ana_ffm_lock.bat,Ended Not OK,Run (2) ,20190707224547, ,0, ,0,SEBLG409@-SIEBEL018,SEBLJ2003ua,sebl2003_ana_ffm_lock.bat,FFM lock UKC1,N,60.0,N, , ,N, , , , ,795, , , , ,Y, , ,"Date 190707, FAILED jobs are SEBLJ2003ub, SEBLJ2003ua(Interface_595, Interface_594) and LONGRUN jobs are SEBLJ2013ab(Interface_614), TABLE_NAME = SEBLG409@-SIEBEL018, ID=WETX1000170",WETX1000170
08/07/2019 12:01:15,4cveb,190707,FAILED,SEBLJ2003ub,SEBLG409@-SIEBEL018,Interface_595,WE,TX,NT,WETX,2019-07-08 12:01:13.417168,sebl2003_ana_ffm_lock.bat,Ended Not OK,Run (2) ,20190707224547, ,0, ,0,SEBLG409@-SIEBEL018,SEBLJ2003ub,sebl2003_ana_ffm_lock.bat,FFM lock UKC2,N,60.0,N, , ,N, , , , ,795, , , , ,Y, , ,"Date 190707, FAILED jobs are SEBLJ2003ub, SEBLJ2003ua(Interface_595, Interface_594) and LONGRUN jobs are SEBLJ2013ab(Interface_614), TABLE_NAME = SEBLG409@-SIEBEL018, ID=WETX1000170",WETX1000170
08/07/2019 12:01:15,4cvee,190707,LONGRUN,SEBLJ2013ab,SEBLG409@-SIEBEL018,Interface_614,WE,TX,NT,WETX,2019-07-08 12:01:13.417168,sebl2013_pea_exp_ana_we.bat,Executing,Run (2) ,20190708022130, ,0, ,0,SEBLG409@-SIEBEL018,SEBLJ2013ab,sebl2013_pea_exp_ana_we.bat,Pea export batch script for we,Y,60.0,N, , ,N, , , , ,580,520.0, , , , ,Y, ,"Date 190707, FAILED jobs are SEBLJ2003ub, SEBLJ2003ua(Interface_595, Interface_594) and LONGRUN jobs are SEBLJ2013ab(Interface_614), TABLE_NAME = SEBLG409@-SIEBEL018, ID=WETX1000170",WETX1000170
09/07/2019 12:09:10,4cxn6,190708,FAILED,SEBLJ5720a,SEBLG407@SDHN5569,Interface_270,AP,TX,UNIX,APTX,2019-07-09 12:09:08.604747,sebl5720_optima_base_tool.sh,Ended Not OK,Run (2) ,20190708160500,20190708160501,0,1605,0,SEBLG407@SDHN5569,SEBLJ5720a,sebl5720_optima_base_tool.sh,PL/SQL - extract file,Y,40.0,N,1605, ,N, , , , ,0, , , , ,Y, , ,"Date 190708, FAILED jobs are SEBLJ5720a(Interface_270), TABLE_NAME = SEBLG407@SDHN5569, ID=APTX1000174",APTX1000174
09/07/2019 12:09:10,4cxn5,190708,FAILED,SEBLJ5720a,SEBLG407@SDHN5569,Interface_270,AP,TX,UNIX,APTX,2019-07-09 12:09:08.604747,sebl5720_optima_base_tool.sh,Ended Not OK,Run (2) ,20190708160500,20190708160501,0,1605,0,SEBLG407@SDHN5569,SEBLJ5720a,sebl5720_optima_base_tool.sh,PL/SQL - extract file,Y,40.0,N,1605, ,N, , , , ,0, , , , ,Y, , ,"Date 190708, FAILED jobs are SEBLJ5720a(Interface_270), TABLE_NAME = SEBLG407@SDHN5569, ID=APTX1000174",APTX1000174
09/07/2019 12:09:10,4cxg4,190708,LONGRUN,SEBLJ2013ab,SEBLG409@-SIEBEL018,Interface_614,WE,TX,NT,WETX,2019-07-09 12:09:08.604747,sebl2013_pea_exp_ana_we.bat,Executing,Run (2) ,20190709022132, ,0, ,0,SEBLG409@-SIEBEL018,SEBLJ2013ab,sebl2013_pea_exp_ana_we.bat,Pea export batch script for we,Y,60.0,N, , ,N, , , , ,588,528.0, , , , ,Y, ,"Date 190708, LONGRUN jobs are SEBLJ2013ab(Interface_614), TABLE_NAME = SEBLG409@-SIEBEL018, ID=WETX1000173",WETX1000173
09/07/2019 12:11:57,4cxn6,190708,FAILED,SEBLJ5720a,SEBLG407@SDHN5569,Interface_270,AP,TX,UNIX,APTX,2019-07-09 12:11:55.336095,sebl5720_optima_base_tool.sh,Ended Not OK,Run (2) ,20190708160500,20190708160501,0,1605,0,SEBLG407@SDHN5569,SEBLJ5720a,sebl5720_optima_base_tool.sh,PL/SQL - extract file,Y,40.0,N,1605, ,N, , , , ,0, , , , ,Y, , ,"Date 190708, FAILED jobs are SEBLJ5720a(Interface_270), TABLE_NAME = SEBLG407@SDHN5569, ID=APTX1000176",APTX1000176
