ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME,SYSDATE,CTRLM_TABLE_NAME,JOBNAME,SCRIPT_NAME,DESCRIPTION,INTERFACE_NAME,CRITICAL_LONG_RUN_JOBS_FLAG,THRESHOLD_RUN_TIME,CRITICAL_NOT_STARTED_JOBS_FLAG,FROMTIME,THRESHOLD_START_TIME,EXCLUDE_JOBS_FLAG,RESTATMENT_RUN_TIME,RESTATMENT_START_TIME,FISCAL_YEAR_END_RUN_TIME,FISCAL_YEAR_END_START_TIME,ACTUAL_RUN_TIME,RUN_TIME_DIFF,NEW_THRESHOLD_START_TIME,START_TIME_DIFF,LATE_START,FAILED,LONG_RUN,NOT_STARTED,REGION,APPLICATION,JOB_TYPE,DM_WORK_GROUP
0,0,,0, ,AA,0,0, ,20190708043000,0430,Ended Not OK,Run (2) ,190708,sebl1011_export_user.bat,SEBLJ1011a,SEBLG407@-SIEBEL016,4cxsg, ,SEBLG407@-SIEBEL016,2019-07-09 12:12:14.863715,SEBLG407@-SIEBEL016,SEBLJ1011a,sebl1011_export_user.bat,Users export,Interface_1,N,60.0,N,0430, ,Y, , , , ,1902, , , , , , , ,AP,TX,NT,APTX
0,0,,0, ,AA,0,0, ,20190707043000,0430,Ended Not OK,Run (2) ,190707,sebl1011_export_user.bat,SEBLJ1011a,SEBLG407@-SIEBEL016,4cvpu, ,SEBLG407@-SIEBEL016,2019-07-09 12:12:14.863715,SEBLG407@-SIEBEL016,SEBLJ1011a,sebl1011_export_user.bat,Users export,Interface_1,N,60.0,N,0430, ,Y, , , , ,3342, , , , , , , ,AP,TX,NT,APTX
0,0,,0, ,AA,0,0, ,20190707043000,0430,Ended Not OK,Run (2) ,190707,sebl1011_export_user.bat,SEBLJ1011b,SEBLG408@-SIEBEL014,4cv2r, ,SEBLG408@-SIEBEL014,2019-07-09 12:12:14.863715,SEBLG408@-SIEBEL014,SEBLJ1011b,sebl1011_export_user.bat,Users export,Interface_308,N,60.0,N,0430, ,Y, , , , ,3342, , , , , , , ,CE,TX,NT,CETX
0,0,,0, ,AA,0,0, ,20190708043000,0430,Ended Not OK,Run (2) ,190708,sebl1011_export_user.bat,SEBLJ1011b,SEBLG408@-SIEBEL014,4cx3o, ,SEBLG408@-SIEBEL014,2019-07-09 12:12:14.863715,SEBLG408@-SIEBEL014,SEBLJ1011b,sebl1011_export_user.bat,Users export,Interface_308,N,60.0,N,0430, ,Y, , , , ,1902, , , , , , , ,CE,TX,NT,CETX
0,0,,0, ,AA,0,0, ,20190707180000,1800,Ended Not OK,Run (2) ,190707,sebl1011_export_user.bat,SEBLJ1011ca,SEBLG410@-SIEBEL012,4cuzu, ,SEBLG410@-SIEBEL012,2019-07-09 12:12:14.863715,SEBLG410@-SIEBEL012,SEBLJ1011ca,sebl1011_export_user.bat,Users export,Interface_846,N,60.0,N,1800, ,Y, , , , ,2532, , , , , , , ,LA,TX,NT,LATX
0,0,,0, ,AA,0,0, ,20190708180000,1800,Ended Not OK,Run (2) ,190708,sebl1011_export_user.bat,SEBLJ1011ca,SEBLG410@-SIEBEL012,4cx0u, ,SEBLG410@-SIEBEL012,2019-07-09 12:12:14.863715,SEBLG410@-SIEBEL012,SEBLJ1011ca,sebl1011_export_user.bat,Users export,Interface_846,N,60.0,N,1800, ,Y, , , , ,1092, , , , , , , ,LA,TX,NT,LATX
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190708,sebl1012_import_user_sat.bat,SEBLJ1012a,SEBLG407@-SIEBEL016,4cxsj, ,SEBLG407@-SIEBEL016,2019-07-09 12:12:14.863715,SEBLG407@-SIEBEL016,SEBLJ1012a,sebl1012_import_user_sat.bat,Users sat import,Interface_2,N,60.0,N, , ,N, , , , , , , , , , , , ,AP,TX,NT,APTX
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190708,sebl1012_import_user_sat.bat,SEBLJ1012b,SEBLG408@-SIEBEL014,4cx3r, ,SEBLG408@-SIEBEL014,2019-07-09 12:12:14.863715,SEBLG408@-SIEBEL014,SEBLJ1012b,sebl1012_import_user_sat.bat,Users sat import,Interface_309,N,60.0,N, , ,N, , , , , , , , , , , , ,CE,TX,NT,CETX
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190708,sebl1012_import_user_sat.bat,SEBLJ1012ca,SEBLG410@-SIEBEL012,4cx0v, ,SEBLG410@-SIEBEL012,2019-07-09 12:12:14.863715,SEBLG410@-SIEBEL012,SEBLJ1012ca,sebl1012_import_user_sat.bat,Users sat import,Interface_847,N,60.0,N, , ,N, , , , , , , , , , , , ,LA,TX,NT,LATX
0,0,,0, ,AA,0,0, , , ,Wait Condition,,190708,sebl1013_snapshot_user.bat,SEBLJ1013a,SEBLG407@-SIEBEL016,4cxsk, ,SEBLG407@-SIEBEL016,2019-07-09 12:12:14.863715,SEBLG407@-SIEBEL016,SEBLJ1013a,sebl1013_snapshot_user.bat,Users snapshot,Interface_3,N,60.0,N, , ,N, , , , , , , , , , , , ,AP,TX,NT,APTX
