ELAPSED_RUNTIME,DELETE_FLAG,AVG_START_TIME,AVG_RUNTIME,TIME_ZONE,PRIORITY,CYCLIC,MAX_RERUN,END_TIME,START_TIME,FROM_TIME,STATUS,STATE,ODATE,MEMNAME,JOB_NAME,ORDER_TABLE,ORDER_ID,JOB_ID,GROUP_NAME
100,0,153740.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ba,SEBLG408@-SIEBEL014,4c3jh,7760,SEBLG408@-SIEBEL014
100,0,153742.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bb,SEBLG408@-SIEBEL014,4c3ji,9632,SEBLG408@-SIEBEL014
0,0,153743.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bc,SEBLG408@-SIEBEL014,4c3jj,5788,SEBLG408@-SIEBEL014
0,0,153745.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bd,SEBLG408@-SIEBEL014,4c3jk,8660,SEBLG408@-SIEBEL014
100,0,220139.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bef,SEBLG408@-SIEBEL014,4c3k2,7772,SEBLG408@-SIEBEL014
0,0,220141.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bff,SEBLG408@-SIEBEL014,4c3k3,5208,SEBLG408@-SIEBEL014
100,0,220143.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bgf,SEBLG408@-SIEBEL014,4c3k4,7228,SEBLG408@-SIEBEL014
0,0,224304.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bj,SEBLG408@-SIEBEL014,4c3jl,6740,SEBLG408@-SIEBEL014
0,0,183406.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bk,SEBLG408@-SIEBEL014,4c3jn,10876,SEBLG408@-SIEBEL014
100,0,214155.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001blf,SEBLG408@-SIEBEL014,4c3k5,7228,SEBLG408@-SIEBEL014
100,0,154245.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001bn,SEBLG408@-SIEBEL014,4c3jo,11116,SEBLG408@-SIEBEL014
800,0,135405.0,9, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001c,SEBLG407@-SIEBEL016,4c46e,6240,SEBLG407@-SIEBEL016
100,0,252014.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ca,SEBLG410@-SIEBEL012,4c3h4,11780,SEBLG410@-SIEBEL012
100,0,252016.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cb,SEBLG410@-SIEBEL012,4c3h5,18080,SEBLG410@-SIEBEL012
100,0,252017.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cc,SEBLG410@-SIEBEL012,4c3h6,14452,SEBLG410@-SIEBEL012
100,0,252019.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cd,SEBLG410@-SIEBEL012,4c3h7,17172,SEBLG410@-SIEBEL012
100,0,233804.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ck,SEBLG410@-SIEBEL012,4c3hb,14276,SEBLG410@-SIEBEL012
100,0,252315.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001clf,SEBLG410@-SIEBEL012,4c3ht,19384,SEBLG410@-SIEBEL012
100,0,124234.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cm,SEBLG410@-SIEBEL012,4c3hc,18352,SEBLG410@-SIEBEL012
100,0,251812.0,1, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001cn,SEBLG410@-SIEBEL012,4c3hd,18596,SEBLG410@-SIEBEL012
700,0,135415.0,8, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001d,SEBLG407@-SIEBEL016,4c46f,11208,SEBLG407@-SIEBEL016
800,0,103645.0,9, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ef,SEBLG407@-SIEBEL016,4c472,8040,SEBLG407@-SIEBEL016
800,0,103655.0,9, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ff,SEBLG407@-SIEBEL016,4c473,8772,SEBLG407@-SIEBEL016
4100,0,103705.0,29, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001gf,SEBLG407@-SIEBEL016,4c474,10612,SEBLG407@-SIEBEL016
4300,0,125815.0,44, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001h,SEBLG407@-SIEBEL016,4c46g,3424,SEBLG407@-SIEBEL016
800,0,82049.0,8, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001i,SEBLG407@-SIEBEL016,4c46h,10736,SEBLG407@-SIEBEL016
3200,0,123407.0,40, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001j,SEBLG407@-SIEBEL016,4c46i,10884,SEBLG407@-SIEBEL016
1000,0,130939.0,10, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001k,SEBLG407@-SIEBEL016,4c46j,4644,SEBLG407@-SIEBEL016
1300,0,100510.0,15, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001lf,SEBLG407@-SIEBEL016,4c475,5980,SEBLG407@-SIEBEL016
1000,0,134819.0,9, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001n,SEBLG407@-SIEBEL016,4c46k,312,SEBLG407@-SIEBEL016
800,0,82058.0,8, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001p,SEBLG407@-SIEBEL016,4c46l,4640,SEBLG407@-SIEBEL016
1600,0,154155.0,18, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ua,SEBLG409@-SIEBEL018,4c3uw,10556,SEBLG409@-SIEBEL018
1700,0,203116.0,28, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190622,sebl2001_imp_opt_anaplan.bat,SEBLJ2001uaf,SEBLG409@-SIEBEL018,4c1wz,3976,SEBLG409@-SIEBEL018
1500,0,154215.0,16, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ub,SEBLG409@-SIEBEL018,4c3ux,3148,SEBLG409@-SIEBEL018
1600,0,203239.0,18, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190622,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ubf,SEBLG409@-SIEBEL018,4c1x0,13136,SEBLG409@-SIEBEL018
2400,0,154233.0,20, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001uc,SEBLG409@-SIEBEL018,4c3uy,7404,SEBLG409@-SIEBEL018
20300,0,203319.0,358, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190622,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ucf,SEBLG409@-SIEBEL018,4c1x1,7184,SEBLG409@-SIEBEL018
2000,0,154254.0,21, ,AA,0,0,2.01906E+13,2.01906E+13, ,Ended OK,Run (2) ,190623,sebl2001_imp_opt_anaplan.bat,SEBLJ2001ud,SEBLG409@-SIEBEL018,4c3uz,12476,SEBLG409@-SIEBEL018
